SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,GQESTIMATES2013,GQESTIMATES2014,GQESTIMATES2015,GQESTIMATES2016,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RBIRTH2016,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RDEATH2016,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RNATURALINC2016,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RINTERNATIONALMIG2016,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RDOMESTICMIG2016,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015,RNETMIG2016
40,3,6,1,0,Alabama,Alabama,4779736,4780131,4785492,4799918,4815960,4829479,4843214,4853875,4863300,5361,14426,16042,13519,13735,10661,9425,14231,59689,59066,57939,58906,59034,58556,11086,48817,48372,50845,49693,51407,52405,3145,10872,10694,7094,9213,7627,6151,1360,4816,4695,4179,4732,5110,4738,866,-1416,414,1619,420,-3114,-864,2226,3400,5109,5798,5152,1996,3874,-10,154,239,627,-630,1038,-600,116185,116214,115521,115697,116984,119189,120174,119659,12.454136025,12.285097627,12.013761115,12.179855186,12.175612702,12.052062456,10.185688458,10.060859757000001,10.542806813,10.274904827,10.602563305,10.786056647,2.2684475677,2.2242378699,1.4709543028999998,1.9049503587,1.5730493965999999,1.2660058093000002,1.004860512,0.9765098932999999,0.8665235455,0.9784245194,1.0539245334,0.9751805437000001,-0.29544902100000003,0.0861075816,0.3357027088,0.08684241300000001,-0.642254598,-0.177829462,0.7094114909999999,1.062617475,1.2022262543,1.0652669324,0.41166993520000006,0.797351082
50,3,6,1,1,Alabama,Autauga County,54571,54571,54742,55255,55027,54792,54977,55035,55416,171,513,-228,-235,185,58,381,151,636,614,574,640,636,631,154,507,560,582,575,475,494,-3,129,54,-8,65,161,137,33,18,2,2,6,8,7,134,321,-294,-253,118,-154,228,167,339,-292,-251,124,-146,235,7,45,10,24,-4,43,9,455,455,455,455,455,455,455,455,11.563951744,11.135090042,10.453564502,11.660851424,11.562375014,11.42588116,9.21843323,10.155782449,10.59925878,10.476546202,8.6354215904,8.9451430951,2.3455185141,0.9793075933,-0.145694279,1.1843052228,2.9269534232999996,2.4807380647999997,0.3272816531,0.0362706516,0.036423569700000005,0.1093204821,0.1454386794,0.1267530398,5.836522814299999,-5.331785786,-4.607581566,2.1499694814,-2.7996945789999996,4.1285275824,6.1638044674,-5.2955151339999995,-4.571157996,2.2592899635,-2.6542558990000003,4.2552806222
50,3,6,1,3,Alabama,Baldwin County,182265,182265,183199,186653,190403,195147,199745,203690,208563,934,3454,3750,4744,4598,3945,4873,516,2188,2092,2161,2214,2237,2274,532,1825,1882,1903,1989,2080,2113,-16,363,210,258,225,157,161,66,183,176,209,239,257,243,867,2731,3333,4178,3759,3492,4046,933,2914,3509,4387,3998,3749,4289,17,177,31,99,375,39,423,2307,2307,2263,2242,2296,2333,2339,2341,11.831759730999998,11.09649495,11.209959798,11.213192467999999,11.089766629000001,11.03206041,9.8688123898,9.982602053799999,9.8716119829,10.073640388,10.31145042,10.250986651,1.9629473411000002,1.1138928965000001,1.3383478148,1.1395520801,0.7783162095999999,0.7810737581,0.9895850232,0.9335483323,1.0841654779,1.2104575428,1.2740590182,1.1788877219,14.76806939,17.679071544,21.672934769,19.038116751,17.311338877,19.628723137999998,15.757654413,18.612619876,22.757100246,20.248574294,18.585397896,20.80761086
50,3,6,1,5,Alabama,Barbour County,27457,27457,27348,27326,27132,26938,26763,26270,25965,-109,-22,-194,-194,-175,-493,-305,70,335,300,283,265,258,253,128,318,293,295,313,319,314,-58,17,7,-12,-48,-61,-61,2,-4,-10,-9,-8,-6,-5,-54,-31,-192,-190,-113,-440,-248,-52,-35,-202,-199,-121,-446,-253,1,-4,1,17,-6,14,9,3193,3193,3379,3388,3388,3352,3198,3186,12.254453670999998,11.01766499,10.467911966,9.869462393600001,9.7297908849,9.6869914808,11.632585873,10.76058614,10.911781025,11.657138601,12.030245319,12.022590217000001,0.6218677982,0.2570788498,-0.443869059,-1.7876762069999999,-2.300454434,-2.335598736,-0.146321835,-0.36725549999999996,-0.332901794,-0.297946035,-0.226274207,-0.19144251899999998,-1.13399422,-7.0513055929999995,-7.027926762000001,-4.2084877380000005,-16.59344182,-9.495548961,-1.280316055,-7.418561092999999,-7.360828556,-4.506433772,-16.81971603,-9.686991481
50,3,6,1,7,Alabama,Bibb County,22915,22919,22861,22736,22645,22501,22511,22561,22643,-58,-125,-91,-144,10,50,82,44,266,245,258,254,259,266,34,277,239,281,250,207,237,10,-11,6,-23,4,52,29,2,10,13,13,18,18,18,-69,-123,-111,-148,2,2,34,-67,-113,-98,-135,20,20,52,-1,-1,1,14,-14,-22,1,2224,2224,2224,2225,2224,2241,2255,2252,11.667434260999999,10.797470307000001,11.429584016,11.285879321,11.492722755,11.768870012,12.149922144000001,10.533042463,12.448500420999999,11.108148938,9.185303514400001,10.485797717,-0.48248788299999995,0.2644278443,-1.018916405,0.17773038300000002,2.3074192403000002,1.2830722945,0.4386253482,0.5729269959000001,0.5759092721,0.7997867234999999,0.7987220447,0.7963897,-5.395091782000001,-4.891915119,-6.55650556,0.08886519150000001,0.08874689390000001,1.5042916556,-4.956466434,-4.3189881230000005,-5.980596287999999,0.888651915,0.8874689386,2.3006813556
50,3,6,1,9,Alabama,Blount County,57322,57324,57376,57707,57772,57746,57621,57676,57704,52,331,65,-26,-125,55,28,183,744,711,646,620,689,663,132,568,593,584,587,634,622,51,176,118,62,33,55,41,5,-3,18,29,32,36,38,-3,104,-67,-94,-161,-81,-65,2,101,-49,-65,-129,-45,-27,-1,54,-4,-23,-29,45,14,489,489,489,489,489,489,489,489,12.929798493,12.313927207999999,11.184404162,10.748307575,11.951742023,11.492459698,9.871136484099999,10.270265589,10.110978376,10.176220236,10.997684242,10.781764604000001,3.0586620092000003,2.0436616181000002,1.0734257865,0.5720873387,0.9540577812000001,0.7106950945,-0.052136284000000005,0.3117449926,0.502086255,0.5547513586999999,0.6244741841,0.6586930143999999,1.8073911872,-1.160384139,-1.627451999,-2.791092773,-1.405066914,-1.126711735,1.7552549030000002,-0.848639147,-1.125365744,-2.236341415,-0.78059273,-0.468018721
50,3,6,1,11,Alabama,Bullock County,10914,10911,10892,10722,10654,10576,10712,10455,10362,-19,-170,-68,-78,136,-257,-93,39,169,122,131,124,115,114,52,132,117,120,115,108,111,-13,37,5,11,9,7,3,7,19,16,9,10,9,9,-13,-242,-90,-92,117,-280,-101,-6,-223,-74,-83,127,-271,-92,0,16,1,-6,0,7,-4,1690,1690,1690,1776,1717,1758,1656,1653,15.638012399,11.414670659,12.341026849,11.649755730999999,10.865970615,10.952586828,12.214305543,10.946856287000001,11.304757419000001,10.804208944,10.204563708,10.664360859,3.4237068567,0.46781437130000003,1.0362694301,0.8455467869,0.661406907,0.28822596920000004,1.7581197372,1.4970059880000002,0.8478568064,0.9394964298999999,0.8503803090000001,0.8646779075,-22.39289349,-8.420658683,-8.666980687999999,10.99210823,-26.45627628,-9.703607628,-20.63477376,-6.923652695,-7.819123881,11.93160466,-25.60589597,-8.838929721
50,3,6,1,13,Alabama,Butler County,20947,20946,20938,20848,20665,20330,20283,20126,19998,-8,-90,-183,-335,-47,-157,-128,65,276,241,240,250,248,236,60,261,272,261,288,268,241,5,15,-31,-21,-38,-20,-5,0,2,5,7,8,8,8,-11,-105,-160,-312,-8,-150,-127,-11,-103,-155,-305,0,-142,-119,-2,-2,3,-9,-9,5,-4,333,333,333,333,333,333,333,333,13.210166084,11.610820707,11.708744969000001,12.311328885,12.274493305999998,11.763533048,12.492222275,13.104328764000002,12.733260154000002,14.182650875,13.264371797999999,12.012760443,0.7179438089,-1.4935080580000002,-1.024515185,-1.87132199,-0.989878492,-0.249227395,0.0957258412,0.2408883964,0.34150506159999994,0.3939625243,0.39595139700000004,0.3987638321,-5.0256066630000005,-7.708428685,-15.22136846,-0.393962524,-7.424088693,-6.330375835,-4.929880821,-7.4675402889999996,-14.8798634,0.0,-7.028137296000001,-5.931612003
50,3,6,1,15,Alabama,Calhoun County,118572,118586,118468,117736,117208,116475,115837,115285,114611,-118,-732,-528,-733,-638,-552,-674,318,1384,1357,1309,1317,1289,1237,313,1326,1357,1411,1392,1427,1441,5,58,0,-102,-75,-138,-204,6,39,63,26,24,29,27,-124,-788,-591,-647,-518,-457,-462,-118,-749,-528,-621,-494,-428,-435,-5,-41,0,-10,-69,14,-35,2933,2934,2883,2959,2813,2796,2773,2776,11.71868385,11.551688913,11.203211188,11.338200351,11.154282154,10.761387758,11.227582937000001,11.551688913,12.076188683,11.983883743,12.348456659000002,12.536103280999999,0.4911009128,0.0,-0.872977495,-0.645683391,-1.194174505,-1.774715524,0.3302230276,0.5362980114,0.2225236752,0.20661868519999999,0.2509497149,0.2348888193,-6.6721986079999995,-5.0309861069999995,-5.537416072,-4.459519956,-3.954621369,-4.019208686,-6.34197558,-4.494688096,-5.3148923969999995,-4.252901271,-3.703671654,-3.784319866
50,3,6,1,17,Alabama,Chambers County,34215,34170,34101,34006,34084,34123,33996,34043,33843,-69,-95,78,39,-127,47,-200,81,401,393,406,425,423,419,80,441,475,452,454,465,476,1,-40,-82,-46,-29,-42,-57,7,31,19,17,19,18,18,-71,-85,138,70,-117,49,-155,-64,-54,157,87,-98,67,-137,-6,-1,3,-2,0,22,-6,458,458,458,458,458,458,458,458,11.775588412000001,11.543545307999999,11.904936442999999,12.478163214,12.43404518,12.34422414,12.950210698,13.952122190999999,13.253771607000001,13.329614350999998,13.668631225999999,14.023510002,-1.174622286,-2.408576884,-1.348835164,-0.8514511370000001,-1.234586046,-1.679285862,0.9103322712999999,0.5580848876,0.4984825604,0.5578472966,0.5291083055,0.5303007984,-2.496072357,4.0534586577,2.0525752488999998,-3.4351649319999997,1.4403503872999999,-4.566479097,-1.585740085,4.6115435453,2.5510578093,-2.877317635,1.9694586928,-4.0361782989999995
